wet_temp,GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1
15.66289984,CHE,Switzerland,CHE.12_1,Lucerne,Canton
13.8599997,CHE,Switzerland,CHE.3_1,Appenzell Innerrhoden,Canton
15.24877933,ROU,Romania,ROU.14_1,Cluj,County
15.93951202,ROU,Romania,ROU.30_1,Neamț,County
18.03109993,MDA,Moldova,MDA.33_1,Străşeni,District
18.2472,MDA,Moldova,MDA.12_1,Criuleni,District
10.565551,KAZ,Kazakhstan,KAZ.1_1,Almaty,Region
16.84974708,MNG,Mongolia,MNG.17_1,Övörhangay,Province
8.125781554,FRA,France,FRA.10_1,Nouvelle-Aquitaine,Region
7.825545,CHE,Switzerland,CHE.13_1,Neuchâtel,Canton
14.81487512,CHE,Switzerland,CHE.18_1,Schwyz,Canton
11.6630349,CHE,Switzerland,CHE.9_1,Glarus,Canton
12.2693005,LIE,Liechtenstein,LIE.9_1,Triesen,Commune
13.38070229,AUT,Austria,AUT.2_1,Kärnten,State
19.0157946,HUN,Hungary,HUN.1_1,Bács-Kiskun,County
19.28521566,HUN,Hungary,HUN.3_1,Békés,County
